Name,Dimensions,Size,DataType,Attributes,HistFlag
A550_BC,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: BC abs. aerosol optical depth 550nm, cell_methods: time: mean",aerocom
A550_DU,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: mineral abs. aerosol optical depth 550nm, cell_methods: time: mean",aerocom
A550_POM,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: OC abs. aerosol optical depth 550nm, cell_methods: time: mean",aerocom
A550_SO4,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: SO4 aerosol abs. optical depth 550nm, cell_methods: time: mean",aerocom
A550_SS,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: sea-salt abs aerosol optical depth 550nm, cell_methods: time: mean",aerocom
AB550DRY,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Dry aerosol absorptive optical depth at 550nm, cell_methods: time: mean",aerocom
ABS440,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Aerosol absorptive optical depth at 440nm, cell_methods: time: mean",aerocom
ABS500,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Aerosol absorptive optical depth at 500nm, cell_methods: time: mean",aerocom
ABS550,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Aerosol absorptive optical depth at 550nm, cell_methods: time: mean",aerocom
ABS550AL,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Alt. aerosol absorptive optical depth at 550nm, cell_methods: time: mean",aerocom
ABS550_A,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m-1, long_name: aerosol absorption coefficient, cell_methods: time: mean",aerocom
ABS670,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Aerosol absorptive optical depth at 670nm, cell_methods: time: mean",aerocom
ABS870,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Aerosol absorptive optical depth at 870nm, cell_methods: time: mean",aerocom
ABSDR440,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m-1, long_name: Dry aerosol absorption at 440nm, cell_methods: time: mean",aerocom
ABSDR870,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m-1, long_name: Dry aerosol absorption at 870nm, cell_methods: time: mean",aerocom
ABSDRYAE,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m-1, long_name: Dry aerosol absorption at 550nm, cell_methods: time: mean",aerocom
