Name,Dimensions,Size,DataType,Attributes,HistFlag
cosp_prs_bnds,"cosp_prs, nbnd","7, 2",float64,,cosp
cosp_tau_bnds,"cosp_tau, nbnd","7, 2",float64,,cosp
cosp_ht_bnds,"cosp_ht, nbnd","40, 2",float64,,cosp
cosp_sr_bnds,"cosp_sr, nbnd","15, 2",float64,,cosp
cosp_dbze_bnds,"cosp_dbze, nbnd","15, 2",float64,,cosp
cosp_htmisr_bnds,"cosp_htmisr, nbnd","16, 2",float64,,cosp
cosp_tau_modis_bnds,"cosp_tau_modis, nbnd","7, 2",float64,,cosp
cosp_reffice_bnds,"cosp_reffice, nbnd","6, 2",float64,,cosp
cosp_reffliq_bnds,"cosp_reffliq, nbnd","6, 2",float64,,cosp
CFAD_DBZE94_CS,"time, cosp_ht, cosp_dbze, lat, lon","1, 40, 15, 96, 144",float32,"mdims: [9 6], units: fraction, long_name: Radar Reflectivity Factor CFAD (94 GHz), cell_methods: time: mean",cosp
CFAD_SR532_CAL,"time, cosp_ht, cosp_sr, lat, lon","1, 40, 15, 96, 144",float32,"mdims: [7 6], units: fraction, long_name: Lidar Scattering Ratio CFAD (532 nm), cell_methods: time: mean",cosp
CLDHGH_CAL,"time, lat, lon","1, 96, 144",float32,"units: percent, long_name: Lidar High-level Cloud Fraction, cell_methods: time: mean",cosp
CLDHGH_CAL_ICE,"time, lat, lon","1, 96, 144",float32,"units: percent, long_name: Lidar High-level Ice Cloud Fraction, cell_methods: time: mean",cosp
CLDHGH_CAL_LIQ,"time, lat, lon","1, 96, 144",float32,"units: percent, long_name: Lidar High-level Liquid Cloud Fraction, cell_methods: time: mean",cosp
CLDHGH_CAL_UN,"time, lat, lon","1, 96, 144",float32,"units: percent, long_name: Lidar High-level Undefined-Phase Cloud Fraction, cell_methods: time: mean",cosp
CLDLOW_CAL,"time, lat, lon","1, 96, 144",float32,"units: percent, long_name: Lidar Low-level Cloud Fraction, cell_methods: time: mean",cosp
CLDLOW_CAL_ICE,"time, lat, lon","1, 96, 144",float32,"units: percent, long_name: Lidar Low-level Ice Cloud Fraction, cell_methods: time: mean",cosp
CLDLOW_CAL_LIQ,"time, lat, lon","1, 96, 144",float32,"units: percent, long_name: Lidar Low-level Liquid Cloud Fraction, cell_methods: time: mean",cosp
CLDLOW_CAL_UN,"time, lat, lon","1, 96, 144",float32,"units: percent, long_name: Lidar Low-level Undefined-Phase Cloud Fraction, cell_methods: time: mean",cosp
CLDMED_CAL,"time, lat, lon","1, 96, 144",float32,"units: percent, long_name: Lidar Mid-level Cloud Fraction, cell_methods: time: mean",cosp
CLDMED_CAL_ICE,"time, lat, lon","1, 96, 144",float32,"units: percent, long_name: Lidar Mid-level Ice Cloud Fraction, cell_methods: time: mean",cosp
CLDMED_CAL_LIQ,"time, lat, lon","1, 96, 144",float32,"units: percent, long_name: Lidar Mid-level Liquid Cloud Fraction, cell_methods: time: mean",cosp
