Name,Dimensions,Size,DataType,Attributes,HistFlag
DCBC_A,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: BC_A tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCBC_AC,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: BC_AC tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCBC_AI,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: BC_AI tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCBC_AX,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: BC_AX tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCBC_N,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: BC_N tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCBC_NI,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: BC_NI tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCCLDICE,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: CLDICE tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCCLDLIQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: CLDLIQ tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCDMS,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: DMS tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCDST_A2,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: DST_A2 tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
DCDST_A3,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: DST_A3 tendency due to moist processes, cell_methods: time: mean",diag_cnst_conv_tend-all
