Name,Dimensions,Size,DataType,Attributes,HistFlag
zlon_bnds,"zlon, nbnd","1, 2",float64,"long_name: zlon bounds, units: degrees_east",do_circulation_diags
MSKtem,"time, lat, lon","1, 96, 144",float32,"units: 1, long_name: TEM mask, cell_methods: time: mean",do_circulation_diags
TH,"time, ilev, lat, lon","1, 33, 96, 144",float32,"mdims: 2, units: K, long_name: Potential Temperature, cell_methods: time: mean",do_circulation_diags
THzm,"time, ilev, lat, zlon","1, 33, 96, 1",float32,"mdims: 2, units: K, long_name: Zonal-Mean potential temp - defined on ilev, cell_methods: zlon: mean time: mean",do_circulation_diags
UVzm,"time, ilev, lat, zlon","1, 33, 96, 1",float32,"mdims: 2, units: M2/S2, long_name: Meridional Flux of Zonal Momentum: 3D zon. mean, cell_methods: zlon: mean time: mean",do_circulation_diags
UWzm,"time, ilev, lat, zlon","1, 33, 96, 1",float32,"mdims: 2, units: M2/S2, long_name: Vertical Flux of Zonal Momentum: 3D zon. mean, cell_methods: zlon: mean time: mean",do_circulation_diags
Uzm,"time, ilev, lat, zlon","1, 33, 96, 1",float32,"mdims: 2, units: M/S, long_name: Zonal-Mean zonal wind - defined on ilev, cell_methods: zlon: mean time: mean",do_circulation_diags
VTHzm,"time, ilev, lat, zlon","1, 33, 96, 1",float32,"mdims: 2, units: MK/S, long_name: Meridional Heat Flux: 3D zon. mean, cell_methods: zlon: mean time: mean",do_circulation_diags
Vzm,"time, ilev, lat, zlon","1, 33, 96, 1",float32,"mdims: 2, units: M/S, long_name: Zonal-Mean meridional wind - defined on ilev, cell_methods: zlon: mean time: mean",do_circulation_diags
WTHzm,"time, ilev, lat, zlon","1, 33, 96, 1",float32,"mdims: 2, units: MK/S, long_name: Vertical Heat Flux: 3D zon. mean, cell_methods: zlon: mean time: mean",do_circulation_diags
Wzm,"time, ilev, lat, zlon","1, 33, 96, 1",float32,"mdims: 2, units: M/S, long_name: Zonal-Mean vertical wind - defined on ilev, cell_methods: zlon: mean time: mean",do_circulation_diags
