Name,Dimensions,Size,DataType,Attributes,HistFlag
AQSO4_H2O2,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: SO4 aqueous phase chemistry due to H2O2, cell_methods: time: mean",history_aerosol
AQSO4_O3,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: SO4 aqueous phase chemistry due to O3, cell_methods: time: mean",history_aerosol
AQ_BC_A,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_A aqueous chemistry (for gas species), cell_methods: time: mean",history_aerosol
AQ_BC_AC,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_AC aqueous chemistry (for gas species), cell_methods: time: mean",history_aerosol
AQ_BC_AC_OCW,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_AC aqueous chemistry (for cloud species), cell_methods: time: mean",history_aerosol
AQ_BC_AI,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_AI aqueous chemistry (for gas species), cell_methods: time: mean",history_aerosol
AQ_BC_AI_OCW,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_AI aqueous chemistry (for cloud species), cell_methods: time: mean",history_aerosol
AQ_BC_AX,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_AX aqueous chemistry (for gas species), cell_methods: time: mean",history_aerosol
AQ_BC_A_OCW,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_A aqueous chemistry (for cloud species), cell_methods: time: mean",history_aerosol
AQ_BC_N,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_N aqueous chemistry (for gas species), cell_methods: time: mean",history_aerosol
AQ_BC_NI,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_NI aqueous chemistry (for gas species), cell_methods: time: mean",history_aerosol
AQ_BC_NI_OCW,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_NI aqueous chemistry (for cloud species), cell_methods: time: mean",history_aerosol
AQ_BC_N_OCW,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_N aqueous chemistry (for cloud species), cell_methods: time: mean",history_aerosol
AQ_DMS,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: DMS aqueous chemistry (for gas species), cell_methods: time: mean",history_aerosol
AQ_DST_A2,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: DST_A2 aqueous chemistry (for gas species), cell_methods: time: mean",history_aerosol
