Name,Dimensions,Size,DataType,Attributes,HistFlag
ABSVIS,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Aerosol absorptive optical depth at 0.442-0.625um, cell_methods: time: mean",history_aerosol_base
AOD_VIS,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Aerosol optical depth at 0.442-0.625um, cell_methods: time: mean",history_aerosol_base
DAYFOC,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Daylight fraction, cell_methods: time: mean",history_aerosol_base
N_AER,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: unitless, long_name: Aerosol number concentration, cell_methods: time: mean",history_aerosol_base
cb_BC,"time, lat, lon","1, 96, 144",float32,"units: kg/m2, long_name: cb_BC column of aerosol type, cell_methods: time: mean",history_aerosol_base
cb_DMS,"time, lat, lon","1, 96, 144",float32,"units: kg/m2, long_name: cb_DMS in column, cell_methods: time: mean",history_aerosol_base
cb_DMS_S,"time, lat, lon","1, 96, 144",float32,"units: kg*S/m2, long_name: cb_DMS column, sulfur mass only, cell_methods: time: mean",history_aerosol_base
cb_DUST,"time, lat, lon","1, 96, 144",float32,"units: kg/m2, long_name: cb_DUST column of aerosol type, cell_methods: time: mean",history_aerosol_base
cb_H2O2,"time, lat, lon","1, 96, 144",float32,"units: kg/m2, long_name: cb_H2O2 in column, cell_methods: time: mean",history_aerosol_base
cb_H2SO4,"time, lat, lon","1, 96, 144",float32,"units: kg/m2, long_name: cb_H2SO4 in column, cell_methods: time: mean",history_aerosol_base
cb_OM,"time, lat, lon","1, 96, 144",float32,"units: kg/m2, long_name: cb_OM column of aerosol type, cell_methods: time: mean",history_aerosol_base
cb_SALT,"time, lat, lon","1, 96, 144",float32,"units: kg/m2, long_name: cb_SALT column of aerosol type, cell_methods: time: mean",history_aerosol_base
cb_SO2,"time, lat, lon","1, 96, 144",float32,"units: kg/m2, long_name: cb_SO2 in column, cell_methods: time: mean",history_aerosol_base
cb_SO2_S,"time, lat, lon","1, 96, 144",float32,"units: kg*S/m2, long_name: cb_SO2 column, sulfur mass only, cell_methods: time: mean",history_aerosol_base
