Name,Dimensions,Size,DataType,Attributes,HistFlag
BERGO,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Conversion of cloud water to cloud ice from bergeron, cell_methods: time: mean",history_budget
BERGSO,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Conversion of cloud water to snow from bergeron, cell_methods: time: mean",history_budget
CLDICE,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: Grid box averaged cloud ice amount, cell_methods: time: mean",history_budget
CLDICEAP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: CLDICE after physics, cell_methods: time: mean",history_budget
CLDICEBP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: CLDICE before physics, cell_methods: time: mean",history_budget
CLDICETGW,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: CLDICE tendency - gravity wave drag, cell_methods: time: mean",history_budget
CLDLIQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: Grid box averaged cloud liquid amount, cell_methods: time: mean",history_budget
CLDLIQAP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: CLDLIQ after physics, cell_methods: time: mean",history_budget
CLDLIQBP,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: CLDLIQ before physics, cell_methods: time: mean",history_budget
CLDLIQTGW,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: CLDLIQ tendency - gravity wave drag, cell_methods: time: mean",history_budget
CMEIOUT,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Rate of deposition/sublimation of cloud ice, cell_methods: time: mean",history_budget
CMFDICE,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Cloud ice tendency - shallow convection, cell_methods: time: mean",history_budget
CMFDLIQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Cloud liq tendency - shallow convection, cell_methods: time: mean",history_budget
CMFDQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: QV tendency - shallow convection, cell_methods: time: mean",history_budget
CMFDT,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: K/s, long_name: T tendency - shallow convection, cell_methods: time: mean",history_budget
CT_H2O_GHG,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: ghg-chem h2o source/sink, cell_methods: time: mean",history_budget
DCCLDICE,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: CLDICE tendency due to moist processes, cell_methods: time: mean",history_budget
DCCLDLIQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: CLDLIQ tendency due to moist processes, cell_methods: time: mean",history_budget
DCQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Q tendency due to moist processes, cell_methods: time: mean",history_budget
DMECLDICE,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: CLDICE dme adjustment tendency (FV), cell_methods: time: mean",history_budget
DMECLDLIQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: CLDLIQ dme adjustment tendency (FV), cell_methods: time: mean",history_budget
DMEQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Q dme adjustment tendency (FV), cell_methods: time: mean",history_budget
DPDLFICE,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Detrained ice from deep convection, cell_methods: time: mean",history_budget
DPDLFLIQ,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Detrained liquid water from deep convection, cell_methods: time: mean",history_budget
DPDLFT,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: K/s, long_name: T-tendency due to deep convective detrainment, cell_methods: time: mean",history_budget
DTCORE,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: K/s, long_name: T tendency due to dynamical core, cell_methods: time: mean",history_budget
EBREAK,"time, lat, lon","1, 96, 144",float32,"units: W/m2, long_name: Global-mean energy-nonconservation (W/m2), cell_methods: time: mean",history_budget
EFLX,"time, lat, lon","1, 96, 144",float32,"units: W/m2, long_name: Material enthalpy flux due to mass adjustment at end of tphysac, cell_methods: time: mean",history_budget
EVAPPREC,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Rate of evaporation of falling precip, cell_methods: time: mean",history_budget
EVAPQZM,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: Q tendency - Evaporation from Zhang-McFarlane moist convection, cell_methods: time: mean",history_budget
