Name,Dimensions,Size,DataType,Attributes,HistFlag
BC_A,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: BC_A concentration, cell_methods: time: mean",history_chemistry
BC_AC,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: BC_AC concentration, cell_methods: time: mean",history_chemistry
BC_AI,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: BC_AI concentration, cell_methods: time: mean",history_chemistry
BC_AX,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: BC_AX concentration, cell_methods: time: mean",history_chemistry
BC_AX_CLXF,"time, lat, lon","1, 96, 144",float32,"units: molec/cm2/s, long_name: vertically intergrated external forcing for BC_AX, cell_methods: time: mean",history_chemistry
BC_AX_CMXF,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: vertically intergrated external forcing for BC_AX, cell_methods: time: mean",history_chemistry
BC_N,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: BC_N concentration, cell_methods: time: mean",history_chemistry
BC_NI,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: BC_NI concentration, cell_methods: time: mean",history_chemistry
BC_NI_CLXF,"time, lat, lon","1, 96, 144",float32,"units: molec/cm2/s, long_name: vertically intergrated external forcing for BC_NI, cell_methods: time: mean",history_chemistry
BC_NI_CMXF,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: vertically intergrated external forcing for BC_NI, cell_methods: time: mean",history_chemistry
BC_N_CLXF,"time, lat, lon","1, 96, 144",float32,"units: molec/cm2/s, long_name: vertically intergrated external forcing for BC_N, cell_methods: time: mean",history_chemistry
BC_N_CMXF,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: vertically intergrated external forcing for BC_N, cell_methods: time: mean",history_chemistry
DF_H2O2,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: dry deposition flux, cell_methods: time: mean",history_chemistry
DF_H2SO4,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: dry deposition flux, cell_methods: time: mean",history_chemistry
DF_SO2,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: dry deposition flux, cell_methods: time: mean",history_chemistry
DMS,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: mol/mol, long_name: DMS concentration, cell_methods: time: mean",history_chemistry
DST_A2,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: DST_A2 concentration, cell_methods: time: mean",history_chemistry
DST_A3,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: DST_A3 concentration, cell_methods: time: mean",history_chemistry
DTWR_H2O2,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: wet removal Neu scheme tendency, cell_methods: time: mean",history_chemistry
DTWR_H2SO4,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: wet removal Neu scheme tendency, cell_methods: time: mean",history_chemistry
DTWR_SO2,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg/s, long_name: wet removal Neu scheme tendency, cell_methods: time: mean",history_chemistry
H2O,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: mol/mol, long_name: water vapor concentration, cell_methods: time: mean",history_chemistry
H2O2,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: mol/mol, long_name: H2O2 concentration, cell_methods: time: mean",history_chemistry
H2O_CLXF,"time, lat, lon","1, 96, 144",float32,"units: molec/cm2/s, long_name: vertically intergrated external forcing for H2O, cell_methods: time: mean",history_chemistry
H2O_CMXF,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: vertically intergrated external forcing for H2O, cell_methods: time: mean",history_chemistry
H2SO4,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: mol/mol, long_name: H2SO4 concentration, cell_methods: time: mean",history_chemistry
MEG_isoprene,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/sec, long_name: isoprene MEGAN emissions flux, cell_methods: time: mean",history_chemistry
MEG_monoterp,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/sec, long_name: monoterp MEGAN emissions flux, cell_methods: time: mean",history_chemistry
OM_AC,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: OM_AC concentration, cell_methods: time: mean",history_chemistry
OM_AI,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: OM_AI concentration, cell_methods: time: mean",history_chemistry
OM_NI,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: OM_NI concentration, cell_methods: time: mean",history_chemistry
OM_NI_CLXF,"time, lat, lon","1, 96, 144",float32,"units: molec/cm2/s, long_name: vertically intergrated external forcing for OM_NI, cell_methods: time: mean",history_chemistry
OM_NI_CMXF,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: vertically intergrated external forcing for OM_NI, cell_methods: time: mean",history_chemistry
SFBC_A,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_A surface flux, cell_methods: time: mean",history_chemistry
SFBC_AC,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_AC surface flux, cell_methods: time: mean",history_chemistry
SFBC_AI,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_AI surface flux, cell_methods: time: mean",history_chemistry
SFBC_AX,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_AX surface flux, cell_methods: time: mean",history_chemistry
SFBC_N,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_N surface flux, cell_methods: time: mean",history_chemistry
SFBC_NI,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: BC_NI surface flux, cell_methods: time: mean",history_chemistry
SFDMS,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: DMS surface flux, cell_methods: time: mean",history_chemistry
SFDST_A2,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: DST_A2 surface flux, cell_methods: time: mean",history_chemistry
SFDST_A3,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: DST_A3 surface flux, cell_methods: time: mean",history_chemistry
SFH2O2,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: H2O2 surface flux, cell_methods: time: mean",history_chemistry
SFH2SO4,"time, lat, lon","1, 96, 144",float32,"units: kg/m2/s, long_name: H2SO4 surface flux, cell_methods: time: mean",history_chemistry
